DBCODE,ENTITY,PLOTID,YEAR_BEGIN,YEAR_END,SPECIES,DELTA_TPH_NHA,DELTA_BA_M2HA,DELTA_VOL_M3HA,DELTA_BIO_MGHA,DELTA_JENKBIO_MGHA,MEAN_ANNUAL_NPP_BIO,MEAN_ANNUAL_NPP_JENKBIO
TP001,7,AB080011,1995,2002,PSME,0,0.3136,7.6868,3.4514,3.8493,0.4931,0.5499
TP001,7,AB080011,1995,2002,THPL,0,1.6608,22.8244,7.144,9.5604,1.0206,1.3658
TP001,7,AB080011,1995,2002,TSHE,0,0.9008,22.5036,9.4515,8.2739,8.1909,7.4085
TP001,9,AB080011,2002,2008,ALL,0,-22.1536,-405.0336,-179.0768,-205.3664,-29.8461,-205.3664
TP001,7,AB080011,2002,2008,PSME,0,-19.8896,-401.016,-180.0562,-199.2572,-30.0094,-33.2095
TP001,7,AB080011,2002,2008,THPL,0,-3.088,-24.9229,-7.8009,-13.7754,-1.3001,-2.2959
TP001,7,AB080011,2002,2008,TSHE,0,0.824,20.9053,8.7802,7.6662,1.4634,1.2777
TP001,7,AB080012,1978,1984,ABAM,0,0.0816,1.3065,0.5448,0.5739,0.0908,0.0956
TP001,9,AB080012,1978,1984,ALL,0,1.168,26.6185,11.3156,10.2401,1.8859,10.2401
TP001,7,AB080012,1978,1984,PSME,0,0.1056,2.2163,0.9951,1.1018,0.1659,0.1836
TP001,7,AB080012,1978,1984,THPL,0,-0.0288,-0.7049,-0.2206,-0.2441,-0.0368,-0.0407
TP001,7,AB080012,1978,1984,TSHE,0,1.0096,23.8007,9.9963,8.8086,1.666,1.4681
TP001,7,AB080012,1984,1990,ABAM,0,0.0752,1.2049,0.5024,0.528,0.0837,0.088
TP001,9,AB080012,1984,1990,ALL,0,1.4464,29.6802,11.7787,11.6334,1.9631,11.6334
TP001,7,AB080012,1984,1990,PSME,0,0.1248,2.5776,1.1573,1.2817,0.1929,0.2136
TP001,7,AB080012,1984,1990,THPL,0,0.5216,7.0855,2.2177,2.9705,0.3696,0.4951
