DBCODE,ENTITY,TREEID,COMPONENT,YEAR_AGG,YEAR_RAW,BA_M2,VOL_M3,BIO_MG,JENKBIO_MG,SPECIES,TAG,TREE_STATUS,DBH,CHECK_NOTES
TP001,11,HR02000100005,VSW,2007,2007,1.9656,47.5512,17.54639294,16.86744661,PISI,389,1,158.2,
TP001,11,HR02000100006,VSW,1978,1978,0.0957,1.2882,0.541030934,0.532051781,TSHE,390,1,34.9,
TP001,11,HR02000100006,VSW,1984,1984,0.1024,1.4065,0.590715765,0.578609098,TSHE,390,1,36.1,
TP001,11,HR02000100006,VSW,1989,1989,0.1024,1.4065,0.590715765,0.578609098,TSHE,390,1,36.1,
TP001,11,HR02000100006,VSW,1995,1995,0.1099,1.5419,0.647603372,0.631699424,TSHE,390,1,37.4,witches broom
TP001,11,HR02000100006,VSW,2000,2000,0.1087,1.5206,0.638641507,0.62335025,TSHE,390,1,37.2,ddc; cavity
TP001,11,HR02000100006,VSW,2007,2007,0.1225,1.7771,0.746395971,0.723407355,TSHE,390,1,39.5,
TP001,11,HR02000100007,VSW,1978,1978,0.5931,13.7925,5.792840778,5.117649759,TSHE,391,1,86.9,
TP001,11,HR02000100007,VSW,1984,1984,0.5863,13.5872,5.706616135,5.04489449,TSHE,391,1,86.4,
TP001,11,HR02000100007,VSW,1989,1989,0.5917,13.7513,5.775532185,5.103048938,TSHE,391,1,86.8,TOP IS DEAD
TP001,11,HR02000100007,VSW,1995,1995,0.5931,13.7925,5.792840778,5.117649759,TSHE,391,1,86.9,
TP001,11,HR02000100007,VSW,2000,2000,0.6179,14.5473,6.109867473,5.384737756,TSHE,391,1,88.7,top snapped
TP001,11,HR02000100007,VSW,2007,2007,0.6179,14.5473,6.109867473,5.384737756,TSHE,391,1,88.7,not measured - unsafe; still alive; estimated from 2000
TP001,11,HR02000100008,VSW,1978,1978,1.7111,40.4503,14.9665977,14.34829127,PISI,392,1,147.6,
TP001,11,HR02000100008,VSW,1984,1984,1.7087,40.3864,14.94296196,14.32562906,PISI,392,1,147.5,
TP001,11,HR02000100008,VSW,1989,1989,1.739,41.2213,15.25189248,14.62183535,PISI,392,1,148.8,
TP001,11,HR02000100008,VSW,1995,1995,1.7648,41.9355,15.5161192,14.8751797,PISI,392,1,149.9,
TP001,11,HR02000100008,VSW,2000,2000,1.7766,42.2624,15.59481746,14.99115868,PISI,392,1,150.4,top sbapped ?
TP001,11,HR02000100008,VSW,2007,2007,1.8027,42.9867,15.862097,15.24812545,PISI,392,1,151.5,
TP001,11,HR02000100009,VSW,1978,1978,0.0272,0.251,0.105416911,0.111623672,TSHE,393,1,18.6,
TP001,11,HR02000100009,VSW,1984,1984,0.0284,0.2653,0.111410424,0.117675505,TSHE,393,1,19.0,
TP001,11,HR02000100009,VSW,1989,1989,0.0287,0.2689,0.112940762,0.119218344,TSHE,393,1,19.1,
TP001,11,HR02000100009,VSW,1995,1995,0.029,0.2726,0.114483964,0.120773195,TSHE,393,1,19.2,
TP001,11,HR02000100009,VSW,2000,2000,0.0293,0.2763,0.116040071,0.122340089,TSHE,393,1,19.3,
TP001,11,HR02000100009,VSW,2007,2007,0.032,0.311,0.130632359,0.136989025,TSHE,393,1,20.2,
TP001,11,HR02000100010,VSW,1978,1978,0.0908,1.2036,0.505514541,0.498653271,TSHE,394,1,34.0,
TP001,11,HR02000100010,VSW,1984,1984,0.1018,1.3964,0.586472515,0.574640078,TSHE,394,3,36.0,
TP001,11,HR02000100010,VSW,1989,1989,0.111,1.5634,0.656642192,0.640115002,TSHE,394,3,37.6,NO GROWTH OVER NAIL
TP001,11,HR02000100010,VSW,1995,1995,0.111,1.5634,0.656642192,0.640115002,TSHE,394,6,0.0,
TP001,11,HR02000100011,VSW,1978,1978,1.4849,34.2873,12.68631795,12.16195678,PISI,395,1,137.5,
TP001,11,HR02000100011,VSW,1984,1984,1.546,35.9377,13.29695467,12.74743126,PISI,395,3,140.3,
TP001,11,HR02000100011,VSW,1989,1989,1.5971,37.3266,13.81085078,13.24015417,PISI,395,3,142.6,NO GROWTH OVER NAIL
TP001,11,HR02000100011,VSW,1995,1995,2.4941,62.7666,23.16088218,22.26548198,PISI,395,3,178.2,tag knocked off;  replaced as best as possible; dbh seems high - is this a joint dbh?
TP001,11,HR02000100011,VSW,2000,2000,2.5165,63.4257,23.40408193,22.49930986,PISI,395,3,179.0,bark sloughing --> from falling trees
