DBCODE,ENTITY,STANDID,SPECIES,YEAR_AGG,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA,NO_PLOTS
TP001,6,HR02,PISI,2007,LIVE,180,87.067,2180.078,804.65,773.349,16
TP001,6,HR02,PISI,2007,MORTALITY,5,0.02,0.178,0.066,0.063,16
TP001,6,HR02,THPL,2007,INGROWTH,0,0,0,0,0,16
TP001,6,HR02,THPL,2007,LIVE,1,0.33,3.332,1.043,1.62,16
TP001,6,HR02,THPL,2007,MORTALITY,0,0,0,0,0,16
TP001,6,HR02,TSHE,2007,INGROWTH,14,1.334,23.019,9.668,9.045,16
TP001,6,HR02,TSHE,2007,LIVE,69,13.399,255.614,107.358,98.278,16
TP001,6,HR02,TSHE,2007,MORTALITY,4,1.013,21.093,8.859,7.984,16
TP001,6,HR02,RHPU,2007,INGROWTH,2,0.005,0.022,0.008,0.012,16
TP001,6,HR02,RHPU,2007,LIVE,2,0.005,0.022,0.008,0.012,16
TP001,6,HR02,RHPU,2007,MORTALITY,0,0,0,0,0,16
TP001,6,HR02,ALL,2007,INGROWTH,60,4.75,109.272,41.497,39.647,16
TP001,6,HR02,ALL,2007,LIVE,251,100.801,2439.045,913.059,873.259,16
TP001,6,HR02,ALL,2007,MORTALITY,8,1.033,21.271,8.925,8.047,16
TP001,6,HR03,PISI,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,PISI,1978,LIVE,43,44.292,1135.016,418.861,402.637,16
TP001,6,HR03,PISI,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,THPL,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,THPL,1978,LIVE,1,2.433,46.884,14.675,15.484,16
TP001,6,HR03,THPL,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,TSHE,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,TSHE,1978,LIVE,24,6.522,149.489,62.786,55.244,16
TP001,6,HR03,TSHE,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,ALRU,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,ALRU,1978,LIVE,2,0.56,8.107,2.999,3.815,16
TP001,6,HR03,ALRU,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,ALL,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,ALL,1978,LIVE,70,53.808,1339.496,499.321,477.181,16
TP001,6,HR03,ALL,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,PISI,1984,INGROWTH,64,0.273,2.446,0.905,0.867,16
TP001,6,HR03,PISI,1984,LIVE,108,45.731,1166.865,430.62,413.935,16
TP001,6,HR03,PISI,1984,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,THPL,1984,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,THPL,1984,LIVE,1,2.433,46.884,14.675,15.484,16
TP001,6,HR03,THPL,1984,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,TSHE,1984,INGROWTH,4,0.05,0.411,0.173,0.187,16
TP001,6,HR03,TSHE,1984,LIVE,27,6.794,153.883,64.631,57.002,16
TP001,6,HR03,TSHE,1984,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,ALRU,1984,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,ALRU,1984,LIVE,2,0.589,8.632,3.194,4.052,16
TP001,6,HR03,ALRU,1984,MORTALITY,0,0,0,0,0,16
